Model,K,Recall,NDCG,ILD,F1
NCF,10,0.02476780185758514,0.011402540822229225,0.998073615411077,0.04833611374829994
NCF,20,0.04024767801857585,0.015218091656090059,0.9903698875672154,0.07735185132700981
NCF,30,0.043343653250773995,0.015893337142113377,0.9912245115832156,0.08305550660477698
NCF,40,0.04953560371517028,0.017073919892349843,0.9902079860284183,0.09435124366305922
NCF,50,0.08668730650154799,0.0238445771705107,0.99197573766349,0.1594412736731846
NCF,60,0.10835913312693499,0.027559028652216825,0.9933725140368395,0.19540327224013193
NCF,70,0.10835913312693499,0.027559028652216825,0.9934683255453218,0.19540512572609622
NCF,80,0.12693498452012383,0.03054314847245866,0.9942969392953703,0.2251292777472383
NCF,90,0.13622291021671826,0.03199359500894213,0.9940646946734537,0.23961049394197206
NCF,100,0.14551083591331268,0.03340120857797663,0.9943878412609056,0.2538720482816988
MF,10,0.009287925696594427,0.005675954592363261,0.9889232886136907,0.018403011091439558
MF,20,0.018575851393188854,0.007960757711582587,0.9897181033078059,0.036467255054894156
MF,30,0.021671826625386997,0.008585677484282586,0.9904131525568476,0.04241553342103336
MF,40,0.030959752321981424,0.010408560690466282,0.9910970866079222,0.060043862845328644
MF,50,0.03715170278637771,0.01151762080475606,0.9914298350919323,0.07161961441162991
MF,60,0.04953560371517028,0.013646012264474983,0.9919154816253012,0.0943589822092699
MF,70,0.058823529411764705,0.015172032454396541,0.9920478946727443,0.11106165259179905
MF,80,0.06811145510835913,0.01664574441173323,0.9921052631578944,0.1274715479017298
MF,90,0.07120743034055728,0.01712751342536324,0.992254264213078,0.13287902471885446
MF,100,0.07739938080495357,0.018062567331074298,0.9923876536260449,0.14359902940867225
CBF,10,0.12807881773399016,0.059415970697003516,0.9415982484948002,0.11177857990086575
CBF,20,0.21182266009852216,0.08045448655709893,0.9484314233860514,0.14832657822548942
CBF,30,0.2660098522167488,0.09197725609872903,0.9545439103108545,0.16778701189075101
CBF,40,0.3054187192118227,0.09958436620057769,0.9607363900467348,0.18046298523334708
CBF,50,0.35467980295566504,0.10843494734716404,0.9651231527093596,0.1949649082654368
CBF,60,0.3866995073891626,0.11396041060813127,0.9686482424647241,0.20392881792105166
CBF,70,0.4408866995073892,0.12290865281723176,0.9712143928035981,0.2182033421084964
CBF,80,0.4729064039408867,0.12803536103760985,0.9735463303610401,0.22630796584201238
CBF,90,0.5,0.13225889359656814,0.9752489191466331,0.2329289988629463
CBF,100,0.5197044334975369,0.1352591037043067,0.9768612230681196,0.23761704609635168
